10	Professor Gunter Schumann	King's College London	None	2016-10-01	2021-09-30	Brain network based stratification of mental illness	To reduce the burden of mental disorders it is a formidable aim to identify widely applicable disease markers based on neural processes, which predict psychopathology and allow for targeted interventions. We will generate a neurobehavioural framework for stratification of psychopathology by characterising links between network properties of brain function and structure and reinforcement–related behaviours, which are fundamental components of some of the most prevalent mental disorders, major depression, alcohol use disorder and ADHD. We will assess if network configurations define subtypes within and if they correspond to comorbidity across these diagnoses. We will identify discriminative data modalities and characterize predictors of future psychopathology. To identify specific neurobehavioural clusters we will carry out precision phenotyping of 900 patients with major depression, ADHD and alcohol use disorders and 300 controls, which we will investigate with innovative deep machine learning methods derived from artifical intelligence research. Development of these methods will optimize exploitation of a wide range of assessment modalities, including functional and structural neuroimaging, cognitive, emotional as well as environmental measures. The neurobehavioural clusters resulting from this analysis will be validated in a longitudinal population-based imaging genomics cohort, the IMAGEN sample of over 2000 participants spanning the period from adolescence to adulthood and integrated with information generated from genomic and imaging-genomic meta-analyses of >300.000 individuals. By targeting specific neural processes the resulting stratification markers will serve as paradigmatic examples for a diagnostic classification, which is based upon quantifiable neurobiological measures, thus enabling targetted early intervention, identification of novel pharmaceutical targets and the establishment of neurobehaviourally informed endpoints for clinical trials.	European Research Council	Advanced Grant	3394215.0 GBP
11	Prof. Giacomo INDIVERI	University Of Zurich	None	2017-09-01	2022-08-31	Neuromorphic Electronic Agents: from sensory processing to autonomous cognitive behavior	Neural networks and deep learning algorithms are currently achieving impressive state-of-the-art results. In parallel computational neuroscience has made tremendous progress with both theories of neural computation and with hardware implementations of dedicated brain-inspired computing platforms. However, despite this remarkable progress, today’s artificial systems are still not able to compete with biological ones in tasks that involve processing of sensory data acquired in real-time, in complex and uncertain settings. One of the reasons is that neural computation in biological systems is very different from the way today's computers operate: it is tightly linked to the properties of their computational embodiment, to the physics of their computing elements and to their temporal dynamics. Conventional computers on the other hand operate with mainly serial and synchronous logic gates, with functions that are decoupled from their hardware implementation, and with discretized and virtual time. In this project we will combine the recent advancements in machine learning and neural computation with the latest developments in neuromorphic computing technology to design autonomous systems that can express robust cognitive behavior while interacting with the environment, through the physics of their computing substrate. To achieve this we will embed in robotic platforms microelectronic neuromorphic processors and sensors that implement biophysically realistic neural computational primitives and dynamics. We will adopt active-sensing and on-line spike-based learning strategies, context and state-dependent computation, and probabilistic inference methods for "programming" these neuromorphic cognitive agents to solve challenging tasks in real-time. Our results will lead to compact low-power intelligent sensory-motor systems that will have a large impact on service and consumer robotics, Internet of Things, as well as prosthetics and personalized medicine.	European Research Council	Consolidator Grant	1999090.0 EUR
12	Nicolas Battich	Hubrecht Institute Van Oudenaarden Group Hubrecht Institute	Hubrecht Institute Van Oudenaarden Group Hubrecht Institute	2017-01-01	2017-07-31	A single-cell multi-omics approach to study mouse pre-implantation development	Pre-implantation development in mammals involves complex processes at the level of genomic organization, DNA methylation and transcriptional activity, leading to embryonic genome activation. How different epigenetic markers interact in single mouse blastomeres at early stages of development to influence the transcription of genes, and to what extent these processes vary from cell to cell and between embryos, is not fully understood. Although, in recent years a number of methods that enable single-cell omics measurement have been described, their integration to measure more than one entity in a single cell has remained challenging. Here, I propose a novel strategy for the integrated measurement of different epigenetic markers in combination with the measurement of nascent transcripts in single cells. The strategy relies on the use of a combination of specific restriction enzymes, for the measurement of 5-methylcytosine (MspJI), 5-hydroxymethylcytosine (AbaSI) and accessible chromatin (MseI and/or NlaIII), as well as 2’-fluoro GTP analogues in combination with specific RNases for the measurement of nascent transcripts. The application of these technologies to pre-implantation mouse embryos will shed light into the relationships of different epigenetic markers and their influence on transcription at the single cell level, and how these processes result in cell differentiation during early development. I further propose to use new deep-learning libraries, such as TensorFlow or Caffe, to quantitatively model and gain understanding of these dynamic processes in single blastomere cells.	Swiss National Science Foundation	Early Postdoc.Mobility	None
13	Dr. Andre HOLZAPFEL	The Austrian Research Institute for Artificial Intelligence (OFAI)	None	2016-04-01	2016-09-30	A deeper understanding of common elements in musical rhythm	When listening to an unfamiliar style of music, we attempt to tap the beat and to synchronise with the rhythm, a process that enables us to interpret the structure of what we hear. This process is made possible by properties of music encountered in cultures throughout the whole world. In this project, we aim to identify such common properties in musical rhythm and their culturally dependent interpretation by applying a novel multidisciplinary methodology that combines the perspectives of music information retrieval (MIR) and ethnomusicology. Our insights into common elements of musical rhythm will be shaped into unitary models for the analysis of temporal structure in the musics of the world. Such models represent an important contribution to temper the existing bias towards Western music in MIR research, and can contribute to systems that can cope with a larger cultural diversity of music. In this very moment, the epoch-making development of deep learning gives us the tool to explore the borders and potentials of machine learning in application to music as a cultural expression. We will approach discovering common elements by answering important research questions from ethnomusicology with the help of innovative unitary models that combine deep learning and Bayesian modelling. Deep learning enables the discovery of low-level common signal properties, and Bayesian models enable for inclusion of expert knowledge and culturally dependent high-level interpretation. Our developed models will offer perspectives for a fair and balanced music recommendation and distribution in digital platforms and offer radically novel scientific perspectives on music analysis within engineering and humanities. Our project will promote a deeper understanding of music that suits the needs of a new digital age and indicates ways to connect musicians and listeners across cultural borders.	Austrian Science Fund FWF	Lise Meitner Programme	159620.0 EUR
14	Dr Bender	University of Cambridge	None	2018-10-01	2021-09-30	Moving the Adverse Outcome Pathways Framework towards Practical Utility by Integrating Compound Profiling Data and Using Deep Learning	Despite a significant investment in in vitro and in vivo screening, clinical safety concerns are still a major cause of compounds being withdrawn from the development process. A lack of mechanistic understanding of safety findings, combined with sparse data sets, restricts the development of approaches capable of predicting earlier potential safety concerns for new chemical entities. It is often unclear whether these are truly surprise events or, with hindsight, could actually have been predicted based on the available data at the time. This failure to detect early signals of safety issues may arise due to problems at the interface between three main components of predictive analysis: observer, data and technology. In this work we propose to employ novel mathematical approaches to data representation and modelling, such as deep learning, of the processes that lead to an adverse outcome in order to reduce or eliminate events of this type. Data will be compiled from within AZ and GSK and shared via Lhasa Limited Ltd, with the student having access to both data sources for model generation. Depending on the adverse event considered, we will either compile AOP frameworks for adverse events, and/or use deep learning approaches for cases where only observational data is available, and hence extend current AOP frameworks where indicated. In particular, nodes in deep networks can be interpreted with respect to their contribution to output toxicity, and hence information for AOPs can be derived from them. The current project will involve GSK and AstraZeneca as industrial partners, with the charity Lhasa Ltd. as an 'honest broker', to exchange and pool compound profiling data for model generation. This framework is currently already being established in the context of the Cambridge Alliance on Medicines Safety (CAMS), and it hence improves significantly upon previous analyses which were based either on public data, or data from only a single source. A pilot study on Structural Cardiotoxicity has already been completed and it is currently being written up for publication, proving the viability and benefit of exchanging data for safety prediction in this framework. We now would like to broaden the approach to other adverse events where data is available. This proposal directly puts into practice recommendations published recently, and it represents an advancement over previous approaches (such as eTox) in being able to have broader access to internal safety data from two major pharmaceutical companies in the UK, AstraZeneca and GSK, shared under confidentiality agreements via a Trusted Broker, Lhasa. This means that all biological data will be made available in the context of the project, including experimental protocols, quantitative data on exposure of compounds, and additional target-based and biological profiling information of compounds can be used in this project. Hence, we expect that the combination of access to data, and the utilization of state-of-the-art machine learning methods, will enhance our ability to predict drug safety and toxicity events considerably. Increasing our understanding of the molecular mechanisms by which compounds can cause adverse events will lead to the implementation of much improved in silico and in vitro screens to detect safety risks will avoid unnecessary investments in preclinical and clinical studies.	National Centre for the Replacement, Refinement and Reduction of Animals in Research	Studentship	90000.0 GBP
15	Dr Alastair Droop	Wellcome Trust Sanger Institute	Cancer Genetics and Genomics	2019-04-08	2021-02-13	Facilitating Deep Learning with Domain-Specific Knowledge	Although a good conceptual fit, current methods in deep learning do not perform particularly well on biological data. One reason for this is the paucity of samples: we simply do not have enough data to train a neural network of sufficient size or complexity to learn the intricacies of our input datasets. Although we have many fewer biological samples, we have a much richer understanding of the underlying structure of the observations, as we have extensive prior knowledge about the interactions between genes. I am planning to use this rich prior knowledge to enhance the efficiency of the training process in two ways: 1) Appropriate data embedding A common technique in ML is to transform the input data into a form that is easier for the neural network to train upon (embedding). For example, high-dimensional data could be reduced using PCA to a lower dimensional form before use, thus removing unnecessary noise before training. I propose to develop similar methods using the large body of expertise in transcriptomic data analysis in Leeds to define suitable embedding strategies for preprocessing the input datasets. 2) Biologically appropriate network topologies A standard neural network consists of several hidden layers of neurones connected (both inside and between layers) in a regular manner. I propose a similar approach to learning gene expression analysis in which we use the vast amount of prior knowledge available in online repositories (such as the Gene Ontology, KEGG and String) to build intermediate neural network layers that model the known biological pathways and interactions in the data. This way, the ML approach does not need to learn these already-known interactions.	Medical Research Council	Fellowship	185651.0 GBP
16	Dr Deepti Gurdasani	Wellcome Trust Sanger Institute	Human Genetics	2018-02-14	2019-06-25	Predictive analytics of integrated genomic and clinical data using machine learning and complex statistical approaches	Although the utility of complex statistical, machine and deep learning (ML and DL) approaches in the context of multi-dimensional data has been clearly demonstrated, these methods have not been widely utilised to improve novel drug discovery and clinical risk prediction. This proposal aims to harness the potential of large-scale integrated genetic and health data to spur innovation, and develop predictive algorithms to improve clinical decision making and patient health. Specifically, this will focus on the development and evaluation of ML and DL frameworks for GWAS, and clinical risk prediction using publicly available large-scale EHR and genomics biodata resources, including UK Biobank, Genomics England and INTERVAL studies. Transcriptomic and functional data will be integrated into these using predictive approaches, where this has not been directly measured. This will be implemented in three stages: 1) assessment of complex time-dependent statistical approaches for modelling of hazard; 2) optimisation and assessment of existing ML and DL approaches for modelling of clinical risk; 3) development of novel approaches, specifically using recurrent neural networks (RNNs) to incorporate temporality and missingness in clinical data, including time varying covariates to accurately model complex hazard functions; the objective of this project will be to develop approaches that appropriately leverage the rich longitudinal and time-dependent data on individuals shown by us and others to substantially improve clinical risk prediction. In addition to risk prediction, this proposal will also focus on improving our understanding of genetic aetiology of disease. In addition to standard GWAS approaches, hybrid ML and GWAS approaches for prioritisation of candidate genes, and genetic variants associated with disease will also be applied, potentially improving the power to identify novel associations, with important implications for prioritisation of therapeutic targets.	Medical Research Council	Fellowship	319508.0 GBP
17	Dr David Wright	Queen's University of Belfast	Centre for Public Health	2018-02-14	2021-02-13	Data driven public health approaches for diabetic retinopathy and age-related macular degeneration	This fellowship will focus on the use of EHR and retinal imaging to improve population eye health. Developing novel outcome measures for chronic eye disease: Management of age-related macular degeneration (AMD) requires regular monitoring and rapid treatment if the wet form of the disease develops. Changes in either ocular structures or visual function can signal progression to wet AMD. 3D retinal imaging based on Optical Coherence Tomography can resolve ocular structures in unprecedented detail and QUB researchers have expertise using the latest modalities. However, analytical methods are sub-optimal, especially when attempting to link structural and functional changes. In this project, novel statistical methods will be developed to integrate a large retinal imaging dataset of AMD patients with EHRs of visual function. The aim is to develop meaningful outcome measures of AMD progression for use in clinical trials. Optimising diabetic retinopathy screening: Diabetic retinopathy (DR) is one of the most common causes of sight loss among working-age people in the UK. Those at risk of DR are screened; retinal photographs are taken at regular intervals and images are manually graded for specific pathologies. The aim of this project is to explore the potential of integrating automated image analysis into the Northern Ireland DR screening programme to both target treatment more effectively and reduce costs. A key challenge is predicting DR progression. There may be subtle patterns of retinal changes predicting DR progression that can be detected only by integrating data from many thousands of patients. Using screening images drawn from the NI diabetic eye screening programme (c. 87,000 patients), the fellow will apply the latest deep learning techniques (convolutional neural networks) to detect novel features predictive of DR progression. Performance of the automated methods will be assessed along with the potential for improvements to the screening programme.	Medical Research Council	Fellowship	279158.0 GBP
18	Professor Sophia Ananiadou	The University of Manchester	None	2009-09-01	2012-08-31	Automated Biological Event Extraction from the Literature for Drug Discovery	In establishing drug target confidence, it is essential to have evidence of the type of relationship between the target and key protein-bioprocesses. However, the primary starting point for target choice, and the context for interpretation of all pre-clinical observations is the literature. Text mining (TM) is ideally suited to support the discovery of reliable drug targets. But for TM systems to help researchers understand the role proteins play in biological processes, they have to extract, normalise and identify the context of complex relationships between genes, diseases and their underlying bioprocesses. Our TM techniques will recognise diverse surface forms in text describing bioprocesses and will link them with events and the proteins associated with them. Our methods are based on a combination of advanced semantic text mining (deep parsing, named entity recognition) and machine learning techniques, as we shall automatically identify events (involving proteins) such as decrease [in concentration], phosphorylation, ubiquitination, etc. Bioprocesses such as angiogenesis are composed of individual events described in the literature. We propose to identify these bioprocesses automatically and to link them with the associated events. A combination of kernel methods with knowledge resources and annotated texts (evaluated by biologists) will be used to automatically learn how bioprocesses underlying higher level processes are linked with which events. We shall concentrate on angiogenesis as an example. We shall thereby produce and make available a text mining service for researchers working in drug discovery. Both the software tools used for event extraction as well as the annotated texts used for training purposes will be made available. Co-funded by EPSRC under the RCUK Cross-Council Funding Agreement.	Biotechnology and Biological Sciences Research Council	Industrial (IPA)	288468.0 GBP
19	Prof. Titus NEUPERT	University Of Zurich	None	2018-01-01	2022-12-31	New paradigms for correlated quantum matter: Hierarchical topology, Kondo topological metals, and deep learning	Discovering, classifying and understanding phases of quantum matter is a core goal of condensed matter physics. Next to the notion of symmetry breaking phases, the concept of topological phases of matter is a prevailing theme of recent research. Topological phases are envisioned for various applications due to their universal and robust properties, such as protected conducting boundary modes, and provoke fundamental questions about the nature of many-body quantum states by providing the basis for exotic quasiparticles. In this ERC research project, I propose several new topological phases and novel numerical approaches for studying and classifying the most sought-after topological phases of matter. Concretely, I propose the concept of three-dimensional hierarchical topological insulators, which, in contrast to the known topological phases, do not posses gapless surface, but protected gapless edge modes. Moreover, I plan to study topological metals arising in strongly correlated Kondo systems, going beyond the current paradigm of considering topological metals that arise in the absence of electronic correlations. Furthermore, I propose to make the analogous step for topological superconductors, which have been studied as free models to search for Majorana quasiparticles: For the first time, I want to explore strongly interacting systems that realize the more powerful parafermion quasiparticles with numerical techniques. Finally, in a cross-disciplinary and exploratory sub-project, I will employ methods of deep neural networks to classify strongly correlated quantum phases using supervised learning combined with a technique called deep dreaming. Each of these sub-projects has the potential to make a paradigm-changing contribution to the study of strongly correlated and topological states of quantum matter and the combination of them allows to take advantage of synergy effects and a balance between high-risk and definitely feasible key developments.	European Research Council	Starting Grant	1362401.0 EUR
20	Dr Watjana Lilaonitkul	University College London	Institute of Health Informatics	2018-02-14	2021-02-13	Artificial Intelligence in Medical Treatment Decisions and Diagnosis	The data set is made of anonymised EHRs from the Great Osmond Street Hospital. Over time, we look to engage the NIHR Health Informatics Collaborative and other hospitals that are part of HDR London and HDR UK to collaboratively expand the data set. In the diagnosis network, we exploit a deep recurrent neural network architecture. We model EHR data using multi-task Gaussian processes (MGP) - a probabilistic model used to handle missing values and irregularly spaced observation times - and employ Long-Short-Term Memory (LSTM) units to capture long-range dependencies and nonlinear dynamics. We implement a multi-level deeply supervised network by introducing companion objective functions for each hidden layer that we will combine with the final loss value. We will also explore the effect of attention mechanisms on performance. We will compare the network performance with several state-of-the-art models and consider timeliness along with other metrics that quantify discrimination and accuracy. In the network where the goal is to learn optimal treatment regimens, we exploit a deep reinforcement learning architecture. We adopt an MGP-LSTM module to impute and interpolate the discretised EHR inputs, and employ a duelling Q-network architecture to learn the Q-values. The expected loss and gradient in the MGP layer will be approximated using a fixed number of Monte Carlo sampling. A different action-reward training environment will be structured for each disease explored. To speed up learning, we will explore prioritised experience. We will compare the network and physician performance using the estimated expected total Q-values.	Medical Research Council	Fellowship	313016.0 GBP
