10	Prof Paul Morgan	UK Dementia Research Institute	None	None	2021-04-26	Development of in-house tests for immune response to Covid-19 (antibody tests)	Development of a rapid and quantitative antibody test for immune response to COVID-19, which will be used to help select donors for plasma immunotherapy from individuals who have recovered from COVID-19	UK Research and Innovation	Research Grant	None	None
11	Professor Douglas Kell	University of Liverpool	None	None	2021-04-26	Untargeted metabolomics of serum samples during COVID-19 disease progression	Understanding changes in the biochemistry of an individual who is ostensibly healthy, including when they may show no overt symptoms of infection with SARS-Cov2, remains a huge challenge. Similar questions apply to understanding who is likely to live (unaided or via intervention) and who will die from COVID-19 once diagnosed, and the answers are equally unknown. Since we do not presently have any knowledge (although we know that there are cardiovascular changes that should have easily measured metabolic consequences (Zheng YY, Ma YT, Zhang JY, Xie X: COVID-19 and the cardiovascular system. Nat Rev Cardiol 2020), the best approach is to measure everything and find out. This approach is known as 'untargeted metabolomics'. We are experts in it (Kell co-invented the term 'metabolome'), and have already discovered novel measures of cardiovascular stress. We now wish to apply these to cohorts of serum samples that are already being collected in Liverpool and which will be made available to us (after treatment to remove all proteins, including virus). We anticipate that we shall be able to find markers that could be very early predictors of COVID-19 infection and prognosis.	UK Research and Innovation	Research Grant	169725.0	GBP
12	Professor James Naismith	Research Complex at Harwell	None	None	2021-04-26	Development of nanobodies against SARS-CoV-2 spike protein for research, diagnostics and therapy	As part of Covid-19 Protein Production Consortium (CPPC), developing nanobodies against the viral spike protein for research, diagnostics and therapy at the Rosalind Franklin Institute and Protein Production UK at Harwell	UK Research and Innovation	Research Grant	None	None
13	Professor Neil Ferguson	Imperial College London	None	None	2021-04-26	Centre for Global Infectious Disease Analysis, Imperial College London (GIDA) - COVID-19	This exceptional award is being made in recognition that key Centre staff have been redeployed from their usual work, and Centre resources utilised, to contribute to the first phase of a rapid research response to the COVID-19 outbreak first reported on 31 December 2019. This crisis response is critical to generate evidence that will contribute to the understanding, diagnosis, prevention and management of COVID-19. As of the 14/2/2020 there are 46,997 reported cases, and 1368 deaths, in China and 447 reported cases outside of China (in 24 countries). Currently the virus continues to predominantly affect China, where health systems and wider infrastructure are struggling to cope.	UK Research and Innovation	Research Grant	500000.0	GBP
14	Professor Neil Ferguson	Imperial College London	None	2020-02-01	2021-04-26	MRC Centre for Global Infectious Disease Analysis (GIDA): exceptional award	This exceptional award is being made in recognition that key Centre staff have been redeployed from their usual work, and Centre resources utilised, to contribute to the first phase of a rapid research response to the COVID-19 outbreak first reported on 31 December 2019. This crisis response is critical to generate evidence that will contribute to the understanding, diagnosis, prevention and management of COVID-19. As of the 14/2/2020 there are 46,997 reported cases, and 1368 deaths, in China and 447 reported cases outside of China (in 24 countries). Currently the virus continues to predominantly affect China, where health systems and wider infrastructure are struggling to cope.	UK Research and Innovation	Research Grant	500000.0	GBP
15	Professor Graham Ogg	MRC Human Immunology Unit at the University of Oxford	None	None	2021-04-26	Clinical trials and immune responses in the lungs	Co-ordinating national and local clinical trial activity. Identifying early immune signals and understanding the mechanisms underlying severe forms of COVID-19 lung disease.	UK Research and Innovation	Research Grant	None	None
16	Professor Christopher Butler	University of Oxford	None	None	2021-04-26	COVID-19: Platform Randomised trial of INterventions against COVID-19 In older peoPLE (PRINCIPLE)	This COVID-19 Rapid Response award is jointly funded (50:50) between the Medical Research Council and the National Institute for Health Research. The figure displayed is the total award amount of the two funders combined, with each partner contributing equally towards the project. COVID-19 disproportionately affects people = 50 years old with comorbidities and those = 65 years old. No specific treatment has yet been proven in rigorous clinical trials to be effective against COVID-19. Most clinical trials are hospital-based. Yet, most cases are managed in the community, so interventions proven to be effective are urgently in primary care that prevent hospitalisation and speed recovery. PRINCIPLE will be a Phase III, platform, response-adaptive, open-label randomised controlled trial in primary care. The platform trial will operate under a master protocol that allows the addition or replacement of further interventions. Outcome data will be analysed as the trial is in progress: if evidence emerges that one arm is more effective, we might be able to allocate more people to that arm. PRINCIPLE will, in the first instance, evaluate usual care plus hydroxychloroquine 200mg twice a day for 7 days. This drug is already in wide use, but not for this indication. The comparator will be usual care without a study drug. Eligible patients will be aged =50-64 years with a defined comorbidity, and patients aged =65 with or without comorbidity presenting within 7 days since onset of symptoms with a new continuous cough and/or high temperature during time of prevalent COVID-19 infection. Approximately 3000 eligible participants will need to be randomised in the first instance in order to determine whether the first drug we plan to evaluate is more effective than usual care alone in preventing hospital admission and/or death in people with suspected COVID-19.	UK Research and Innovation	Research Grant	1706580.0	GBP
17	Professor Aziz Sheikh	University of Edinburgh	None	None	2021-04-26	COVID-19: Early Assessment of COVID-19 epidemiology and Vaccine/anti-viral Effectiveness (EAVE II)	This COVID-19 Rapid Response award is jointly funded (50:50) between the Medical Research Council and the National Institute for Health Research. The figure displayed is the total award amount of the two funders combined, with each partner contributing equally towards the project. EAVE (Early Estimation of vaccine and Anti-Viral Effectiveness) was a NIHR-funded project on pandemic influenza, which created a Scotland-wide cohort of 227,000 individuals recruited from 40 general practices together with stored serology samples from 1,000 individuals. EAVE established a national electronic cohort though linking health data sets from general practice, prescribing, hospitalisations and virology testing using the unique Community Health Identification (CHI) number for residents of Scotland. We plan to repurpose and expand this cohort to collect electronic data from 1.2m individuals living in Scotland to study COVID-19. We will augment the cohort by collecting and storing residual sera samples and by sequencing virus from patient specimens. Both of these, are being taken as part of routine care from a sample of these individuals. We will track the progress of the COVID-19 epidemic in near real-time using the EAVE II cohort. We will be able to model the full course of the epidemic from genome sequence data. Once a serological test becomes available we will be able to refine this model and provide precise estimates of the attack rates in different sub-populations, and accompanying hospitalisation and fatality rates. EAVE II will help to identify the clinical features of the epidemic and, in due course, provide estimates of the effectiveness of any vaccines and anti-viral therapies deployed. Ethical and Privacy Committee approval has previously been given for the EAVE study and we anticipate the same approvals will readily be obtained for this follow-on study.	UK Research and Innovation	Research Grant	451229.0	GBP
18	Professor Trisha Greenhalgh	University of Oxford	None	None	2021-04-26	Remote-by-Default Care in the COVID-19 Pandemic: addressing the micro-,meso-, and macro-level challenges of a radical new service model	AIMIn the context of COVID-19, to address micro- (technical tools, clinical techniques), meso- (organisational change) and macro (national infrastructure) aspects of a remote-by-default service model in primary care.OBJECTIVES1. Validate and embed evidence-based tools for remote assessment and monitoring.2. Support local implementation teams to overcome technical, operational and professional barriers and implement remote-by-default service models rapidly and at scale.3. Generate and apply insights on how NHS infrastructure can better support – and be supported by – digital innovation in a time of crisis.RESEARCH QUESTIONS1. How can technology support assessment and monitoring of patients at a distance?2. How can we achieve rapid spread and scale up of remote-by-default models of primary care?3. What insights can we glean from this time of crisis that will help build a more resilient NHS?OUTLINE METHODS1. TOOLS: Qualitative research to develop instruments followed by quantitative validation studies.2. IMPLEMENTATION AND SCALE-UP: Four contrasting case studies in different localities, nestedin an over-arching analysis of national policy. Action research (informed by interviews, ethnography, documents, datasets) by virtual researchers-in-residence.3. WORKSHOPS AND SCENARIO-TESTING: Involving policymakers, regulators, professional bodies, industry, patients/citizens, to identify ways to strengthen infrastructure for rapid change.DELIVERABLES1. At least two evidence-based assessment tools: qualitative (for remote assessment of key prognostic symptoms) and quantitative (a COVID-19-specific early warning score).2. Transferable lessons about how to achieve rapid spread and scale-up, spread in real time through our extensive intersectoral networks.3. Strengthened infrastructure for supporting digital innovation in the NHS.	UK Research and Innovation	Research Grant	376662.0	GBP
19	Professor Paul Moss	University of Birmingham	Institute of Immunology & Immunotherapy	2020-08-20	2021-08-19	A UK underpinning platform to study immunology and immunopathology of COVID-19:The UK Coronavirus Immunology Consortium	Incomplete understanding of mechanisms of protective immunity and immunopathology following SARS-CoV-2 infection limits development of diagnostics, treatments and vaccination. The UK coronavirus immunology consortium (UK-CIC) will link the UK immunology community to deliver, at pace, a coordinated and agile national research programme. This will focus around 17 centres of excellence and address five key research themes: -The primary immune response and clinical outcome Here we will integrate immune datasets from patients at the time of primary infection to assess how this relates to clinical risk factors such as gender, ethnicity and age. We will compare and contrast patients with mild and severe disease -long term protective immunity This theme will focus on mechanisms of cellular immunity, how these responses are maintained over time, and how they relate to the severity of initial infection. The consortium incorporates intensive deep phenotyping of an ISARIC 4C follow up cohort. -mechanisms and prevention of immunopathology Using primary tissue samples and post-mortem material we will utilise start of the art technology to assess how viral replication and immune mechanisms mediate pathology, and how these can be prevented. -cross reactivity with seasonal coronaviruses Here we will focus on T cell cross-reactivity between SARS-CoV-2 and seasonal coronaviruses, using fresh and historical samples -viral immune evasion The virus mediates disease by evading host immunity. Here we will use molecular, proteomic and cellular approaches to define new, and potentially reversible, mechanisms of viral evasion. Research outcomes will be translated rapidly to policy makers, academic & industrial collaborators, and the public. The UK has one of the strongest immunology communities in the world and UK-CIC will bring this together to hasten pandemic control and serve as an exemplar for potential future challenges.	Medical Research Council	Research Grant	6552119.0	GBP
20	Professor Zhanfeng Cui	University of Oxford	None	None	2021-08-19	Rapid testing technology for COVID-19	Impact Acceleration Account Funding: Rapid testing technology for COVID-19:Scientists from University of Oxford and the Oxford Suzhou Centre for Advanced Research (OSCAR) have developed a rapid testing technology for the novel corona virus SARS-CoV-2 (COVID-19). The team, led by Professor Zhanfeng Cui and Professor Wei Huang, have been working to improve test capabilities as the virus spreads internationally. The new test is much faster and does not need a complicated instrument. Previous viral RNA tests took 1.5 to 2 hours to give a result. The research team has developed a new test, based on a technique which is capable of giving results in just half an hour – over three times faster than the current method. The technology has been validated with real clinical samples at Shenzhen Luohou People’s Hospital in China. Shenzhen Luohou People’s Hospital has applied the rapid detection kits on 16 clinic samples, including 8 positives and 8 negatives, which have been confirmed by conventional RT-PCR methods and other clinical evidence. The test results using the rapid detection kits were all successful. The Oxford scientists are now working to develop an integrated device so that the test can be used at clinics, airports, or even for home use. The project was initiated by Oxford Suzhou Centre for Advanced Research (OSCAR), a University of Oxford centre in Suzhou Industrial Park, China. The experiments to develop the technology were performed in the Department of Engineering Science.	UK Research and Innovation	Research Grant	316058.0	GBP
21	Wei Huang	University of Oxford	None	None	2021-08-19	Rapid testing technology for COVID-19	Impact Acceleration Account Funding: Rapid testing technology for COVID-19:Scientists from University of Oxford and the Oxford Suzhou Centre for Advanced Research (OSCAR) have developed a rapid testing technology for the novel corona virus SARS-CoV-2 (COVID-19). The team, led by Professor Zhanfeng Cui and Professor Wei Huang, have been working to improve test capabilities as the virus spreads internationally. The new test is much faster and does not need a complicated instrument. Previous viral RNA tests took 1.5 to 2 hours to give a result. The research team has developed a new test, based on a technique which is capable of giving results in just half an hour – over three times faster than the current method. The technology has been validated with real clinical samples at Shenzhen Luohou People’s Hospital in China. Shenzhen Luohou People’s Hospital has applied the rapid detection kits on 16 clinic samples, including 8 positives and 8 negatives, which have been confirmed by conventional RT-PCR methods and other clinical evidence. The test results using the rapid detection kits were all successful. The Oxford scientists are now working to develop an integrated device so that the test can be used at clinics, airports, or even for home use. The project was initiated by Oxford Suzhou Centre for Advanced Research (OSCAR), a University of Oxford centre in Suzhou Industrial Park, China. The experiments to develop the technology were performed in the Department of Engineering Science.	UK Research and Innovation	Research Grant	316058.0	GBP
22	Professor Rachel McKendry	University College London	None	None	2021-08-19	i-sense: EPSRC IRC in Agile Early Warning Sensing Systems for Infectious Diseases and Antimicrobial Resistance (i-sense COVID-19: Harnessing digital and diagnostic technologies for COVID-19)	Additional funding for the I-sense IRC to address the COVID-19 Pandemic. To harness the multidisciplinary expertise within the i-sense EPSRC IRC track and test Flagship programmes to address the key challenges associated with the COVID-19 pandemic; namely early identification of infection in the community through online data sources and point-of-care diagnostic tests (PoCT) linked to national health systems.	UK Research and Innovation	Research Grant	316058.0	GBP
23	Dr Josie Evans	University of Stirling	None	None	2021-08-19	Ambulance call-outs for psychiatric emergencies during the COVID-19 pandemic	The pandemic of COVID-19 and/or the social distancing restrictions will have significant effects on the mental health of many people in Scotland. This may result in more mental health emergencies that require emergency ambulance attendance. At least 10% of ambulance call-outs in Scotland are related to mental health (9,014 calls from 6,802 people in Scotland in 2011)1. In this study we will see whether numbers and patterns of these ambulance call-outs, and the characteristics of people experiencing mental health crises, were different from expected during the COVID-19 pandemic	Chief Scientist Office	Research Grant	24665.0	GBP
24	Professor Neil Ferguson	Imperial College London	None	2020-03-01	2021-02-28	Centre for Global Infectious Disease Analysis, Imperial College London (GIDA) - COVID-19	This award is being made in recognition that key Centre staff have been redeployed from their usual work, and Centre resources utilised, to contribute to the first phase of a rapid research response to the COVID-19 pandemic. The MRC Centre for Global Infectious Disease Analysis, is at the forefront of delivering timely analysis to inform policy responses to emerging infectious disease threats, and was rapidly awarded an additional £0.5m to support their real-time analysis and modelling of the SARS-CoV2 pandemic and the impact of COVID-19.	Medical Research Council	P&Cs	500000.0	GBP
25	Professor Andrew Hayward	University College London	None	None	None	COVID-19: Virus Watch: Understanding community incidence, symptom profiles, and transmission of COVID-19 in relation to population movement and behaviour.	This COVID-19 Rapid Response award is jointly funded (50:50) between the Medical Research Council and the National Institute for Health Research. The figure displayed is the total award amount of the two funders combined, with each partner contributing equally towards the project. COVID-19 is set to become a global pandemic. Near real time information is needed to inform NHS planning and public health response. This includes community incidence (regardless of seeking care), risk factors for disease, clinical symptoms, case hospitalisation and mortality ratios, asymptomatic viral shedding, asymptomatic infection, household transmission risk and population behaviours during periods of wellness and illness (including social contact and movement, respiratory hygiene and health seeking behaviours). This information can only be gathered accurately through large scale community studies. Our experience of the MRC/Wellcome FluWatch study and ESRC BugWatch study allows us to rapidly establish two six-month national household cohorts (April-September 2020) and (October 2020-March 2021) of 25,000 individuals each (2,500 in each region of England and Wales) for online symptom and behaviour reporting and optional use of an app allowing their mobile phones to be used as GPS trackers enabling secure transfer and analysis of detailed movement patterns. Two sub-cohorts (10,000 individuals each) will also self-swab when ill for detection of COVID-19 and other circulating viruses. We will also conduct a London based study (200 households) following household contacts of COVID-19 cases for 28 days with daily symptom reporting, regular swabbing and baseline and follow up serology to investigate household transmission and asymptomatic infection and virus shedding. We will use data from Virus Watch to train whole population prediction models based on social media and search engine data and develop spatiotemporal models. Findings will be rapidly disseminated via online dashboards informing the public and decision makers.	UK Research and Innovation	Research Grant	3248052.0	GBP
26	Professor Rebecca Fitzgerald	MRC Cancer Unit at the University of Cambridge	None	None	None	Evaluation of Cytosponge testing for urgent suspected cancer referrals during COVID-19 related suspension of endoscopy services	Upper GI endoscopy services are severely limited in view of the risks of aerosol spread of coronavirus. This risks a delay in cancer diagnosis and a back-log of endoscopy referrals to facilitate once services resume. We have fast-tracked the Cytosponge technology developed in Cambridge to provide a triage service for 2WW referrals.	UK Research and Innovation	Research Grant	None	None
27	Professor Sube Banerjee	University of Plymouth	None	None	None	DETERMIND-C19: Impact of COVID-19 on people newly diagnosed with dementia and their family carers, a mixed method study nested in DETERMIND	People with dementia are at high risk of adverse outcomes from COVID-19 and may also be adversely affected by the steps taken by society to control the spread of the infection. They have difficulty remembering and understanding restrictions and precautions put in place to protect them and others, and may be distressed that non-resident family and social networks are compromised. In addition, there is currently reduced access to many formal care services. This may cause strain for people with dementia and co-resident and non-co-resident family carers, particularly those with a recent diagnosis who are attempting to come to terms with living with dementia and navigating the complex support landscape. We currently have few empirical data with which to help us to formulate how best to support them. We will address this gap by examining how a group of 266 people newly diagnosed with a range of severities of dementia in the months before the COVID-19 lockdown and their carers have been affected by COVID-19 and the predictors of better and worse outcomes (quality of life, depression, carer burden and physical health). They were recruited as part of the ESRC/NIHR-funded DETERMIND programme and have a rich baseline characterisation of socio-demographics, clinical state, and service use. Using telephone quantitative and qualitative interviews we will investigate what has happened to them and how outcomes vary by clinical and sociodemographic factors such as dementia severity, neuropsychiatric symptoms, service receipt, ethnicity, gender, and place of residence. We will use these data to generate practical guidance for services and families on how best to support people with dementia and carers in this and any future pandemic.	UK Research and Innovation	Research Grant	93826.0	GBP
28	Prof. Massimo Palmarini	University of Glasgow	None	2020-02-01	2020-03-31	MRC Centre for Virus Research (CVR): exceptional award	This exceptional award is being made in recognition that key Centre staff have been redeployed from their usual work, and Centre resources utilised, to contribute to the first phase of a rapid research response to the COVID-19 outbreak first reported on 31 December 2019. This crisis response is critical to generate evidence that will contribute to the understanding, diagnosis, prevention and management of COVID-19. As of the 14/2/2020 there are 46,997 reported cases, and 1368 deaths, in China and 447 reported cases outside of China (in 24 countries). Currently the virus continues to predominantly affect China, where health systems and wider infrastructure are struggling to cope.	Medical Research Council	Research Grant	500000.0	GBP
29	Prof. Massimo Palmarini	MRC University of Glasgow Centre for Virus Research	None	None	2020-03-31	Providing evidence for the design and refinement of COVID-19 Scottish surveillance programmes	Providing evidence for the design and refinement of COVID-19 Scottish surveillance programmes, by estimating the level of COVID-19 infections in the community, their distribution among different age groups, and how these vary with time. This is essential to inform interventions, including the possibility of introducing “immunological passports” for the workforceand the easing of restrictions. The results of this project will directly inform current PHSPublic Health Scotland efforts to design a serology-based national surveillance program.	UK Research and Innovation	Research Grant	None	None
30	Professor Neil Ferguson	Imperial College London	None	None	2020-03-31	Centre for Global Infectious Disease Analysis, Imperial College London (GIDA) - COVID-19	This exceptional award is being made in recognition that key Centre staff have been redeployed from their usual work, and Centre resources utilised, to contribute to the first phase of a rapid research response to the COVID-19 outbreak first reported on 31 December 2019. This crisis response is critical to generate evidence that will contribute to the understanding, diagnosis, prevention and management of COVID-19. As of the 14/2/2020 there are 46,997 reported cases, and 1368 deaths, in China and 447 reported cases outside of China (in 24 countries). Currently the virus continues to predominantly affect China, where health systems and wider infrastructure are struggling to cope.	UK Research and Innovation	Research Grant	500000.0	GBP
31	Professor Neil Ferguson	Imperial College London	None	2020-02-01	2020-03-31	MRC Centre for Global Infectious Disease Analysis (GIDA): exceptional award	This exceptional award is being made in recognition that key Centre staff have been redeployed from their usual work, and Centre resources utilised, to contribute to the first phase of a rapid research response to the COVID-19 outbreak first reported on 31 December 2019. This crisis response is critical to generate evidence that will contribute to the understanding, diagnosis, prevention and management of COVID-19. As of the 14/2/2020 there are 46,997 reported cases, and 1368 deaths, in China and 447 reported cases outside of China (in 24 countries). Currently the virus continues to predominantly affect China, where health systems and wider infrastructure are struggling to cope.	UK Research and Innovation	Research Grant	500000.0	GBP
