30	Prof. Dirk Schübeler	Friedrich Miescher Institute for Biomedical Research	None	2016-01-01	2020-12-31	Readout of DNA methylation	DNA and chromatin modifications are essential for proper control of gene expression during development. How these marks alter transcriptional programs and modulate binding patterns of sequence specific transcription factors (TF) remains poorly understood. This currently limits our interpretation of epigenomic maps towards their incorporation into predictive models of gene regulation. ReaDMe has the ambitious goal to systematically define the sensitivity of TFs to local levels of DNA methylation in vivo. We will use a combination of genomics, genome editing and proteomics tools to comprehensively identify transcriptional regulators that respond to DNA methylation. As a first approach, we will interrogate changes in the global TF binding landscape when DNA methylation is ablated from the genome. Using both embryonic stem cells and somatic cells, these experiments are aimed at identifying sites that are occupied by TFs in a DNA methylation dependent manner within different cellular context. Secondly, we will combine parallelized chromosomal insertions with targeted footprinting to determine the link between DNA sequence context, methylation density and TF binding. In a third approach we will define the global chromatin proteome as a function of DNA methylation. Through the use of a novel and orthogonal proteomics assay, we will characterize DNA methylation sensitive changes in the chromatin-bound proteome. Candidate factors predicted from all approaches will be validated and functionally characterized through direct genome-wide mapping as well as loss of function analysis. ERC funding would enable ReaDMe to develop an integrated setup to in vivo identify and characterize where DNA methylation influences the cis-regulatory landscape by modulating binding profiles of trans-acting factors. This goal represents a crucial step towards comprehensive understanding of the genomic readout of DNA methylation and its impact on gene regulation.	European Research Council	Advanced Grant	2136969.0	EUR
31	Dr Jan Zylicz	University of Cambridge	None	2016-07-01	2020-06-30	Role of epigenetic mechanisms in random X chromosome inactivation ex vivo and in vivo.	Developmental progression is linked to accumulation of epigenetic information mainly in the form of chemical modifications of the chromatin. One of the most striking examples of that is random X chromosome inactivation (XCI) in female mammalian embryos. This process is dependent on coating of one X chromosome by a long non-coding RNA, Xist. This in turn promotes rapid and dramatic remodelling of the chromatin. The functional relevance and exact spatio-temporal dynamics of this process remains elusive. Here I propose to address these questions by using an integrated approach. Firstly I will use an ex vivo embryo culture system to monitor the dynamics of XCI. I will further integrate that information with single cell and population based epigenomic to generate in vivo and in vitro datasets accounting to a roadmap for XCI. I aim at identifying the initial stages of epigenetic programming leading to transcriptional repression as well as genomic loci involved in nucleating these changes. I will finally address the functional relevance of X chromosome epigenetic programming by using gene knockout models and genome-wide single cell transcriptomics approach. Such work will have wide-raging implications beyond the field of XCI and can be extrapolated into other epigenetic regulatory mechanisms.	Wellcome Trust	Sir Henry Wellcome Postdoctoral Fellowship	250000.0	GBP
32	Dr. Simon Elsässer	Karolinska Institute	None	2017-01-01	2021-12-31	Chromatin dynamics resolved by rapid protein labeling and bioorthogonal capture	Histone proteins provide a dynamic packaging system for the eukaryotic genome. Chromatin integrates a multitude of signals to control gene expression, only some of which have the propensity to be maintained through replication and cell division. For our understanding of cellular memory and epigenetic inheritance we need to know what features characterize a stable, heritable chromatin state throughout the cell cycle. State-of-the-art methods such as ChIP-Seq provide population-based snapshots of the epigenomic landscape but little information on the stability and relative importance of each studied feature or modification. This project pioneers a rapid, sensitive and selective protein labeling method (termed RAPID) for capturing genome-wide chromatin dynamics resolved over a period of time ranging from minutes to days. RAPID introduces a flexible time dimension in the form of pulse or pulse-chase experiments for studying genome-wide occupancy of a protein of interest by next-gen sequencing. It can also be coupled to other readouts such as mass spectrometry or microscopy. RAPID is uniquely suited for studying cell cycle-linked processes, by defining when and where stable ‘marks’ are set in chromatin. I will employ mouse embryonic stem cell (mESC) as a model system for pluripotency and lineage specification. RAPID will define fundamental rules for inheritance of histone and other chromatin-associated proteins and how they are modulated by the fast cell cycle of pluripotent cells. Using RAPID in combination with other state-of-the art genetics and epigenomics, I will collect multi-dimensional descriptions of the dynamic evolution and propagation of functionally relevant chromatin states, such as interstitial heterochromatin and developmentally regulated Polycomb domains.	European Research Council	Starting Grant	1846360.0	EUR
33	Dr Paul Martin	University of Manchester	Arthritis Research UK Centre for Genetics and Genomics	2018-08-01	2021-07-31	Using bioinformatics to link disease associations with epigenomic resources to uncover cell type specific rheumatoid arthritis risk	Although genome-wide association studies (GWAS) have been successful in identifying variants that increase the risk of disease, the translation of these findings to clinical benefit has proved more elusive. This is partially due to the, rather surprising, discovery that the vast majority of DNA changes associated with disease are found in ‘non-coding’ regions of the genome, often some distance from the nearest gene. These regions are therefore more likely to regulate gene expression which has been shown to vary across different cell types, stimuli and timepoints. Therefore, the next task to allow full utilisation of GWAS findings, is to determine how these non-coding regions increase the risk of disease. My projects key goals are to link GWAS findings in rheumatoid arthritis (RA) to the genes they regulate, the cell types where this regulation takes place and the mechanisms by which different genetic backgrounds increases the risk of disease. I am in a strong position to achieve this, given my skills, background in bioinformatics and the enormous wealth of data now available, both publicly in general cell types, and more specifically in cell types and conditions pertinent to RA, (e.g. patient T cells, fibroblasts, cartilage) which have been generated within the group. I will utilise both public and in-house generated epigenomic data (e.g. Hi-C, ChIP and ATAC-Seq), showing how regulatory regions of DNA are active in different cell types and conditions, link this to DNA interaction data, providing a physical indication of the genes that are regulated, and expression data to score enhancers for every RA region in each cell type. Overlaying our GWAS variants onto this model will provide the next, crucial step in assigning genetic risk of disease to genes, cell type and mechanism.	Versus Arthritis	Foundation Fellowship	202930.0	GBP
34	Dr. Gaetano GARGIULO	Max Delbrueck Center for Molecular Medicine	None	2017-07-01	2022-06-30	Glioblastoma Subtype Avatar models for Target Discovery and Biology	The Glioblastoma Multiforme (GBM) is the most common primary brain tumor and it is incurable. Two major challenges affect GBM clinical management: its heterogeneity (which treatment will best fit this very patient?) and its resistance to available treatments (will the patient benefit in any way from the chosen therapy?). Here we approach these questions with a personalized entry point. First, we aim to create “humanized” experimental models of GBM accurately reflecting patients at molecular level. These GBM Subtype Avatars models (GSA) will be exploited as “targeted patients” in personalized biology and intervention studies. Since GBM exists as molecular subtypes with similar histopathology but mutually exclusive genetic lesions and molecular features, we will generate GSA by targeting mutations recurrently associated with Proneural, Classical or Mesenchymal GBM subtypes into adult human neural stem cells (NSC). Evidence supports that these cells can give rise to high-grade gliomas when engineered with the appropriate genetic lesions. Next, engineered NSC will be orthotopically implanted into immunocompromised rats and the resulting tumors profiled for gene expression, DNA methylation and copy number aberrations. These profiles will be compared to those generated in patient-derived xenografts and biopsies. Second, to identify drug targets favoring patients’ response to the current standard of care, we will exploit GSA for state-of-art genetic screens in vivo. Specifically, we will seek for synthetic lethal interactions between DNA damaging agents and the GSA transcriptome using an in vivo CRISPRi screening approach. Third, to investigate the molecular basis of GBM heterogeneity in GSA models, we will combine genetic and immunophenotypic tracing with gene expression and epigenomic profiling. Identifying tumor-specific vulnerabilities in a dismal disease urging for effective therapies and its molecular fingerprinting convey conceivably rapid Translation in Oncology.	European Research Council	Starting Grant	1500000.0	EUR
35	Stein Luc AERTS	Flanders Institute for Biotechnology (VIB)	None	2017-06-01	2022-05-31	Decoding and controlling cell-state switching: A bottom-up approach based on enhancer logic	Cell-state switching in cancer allows cells to transition from a proliferative to an invasive and drug-resistant phenotype. This plasticity plays an important role in cancer progression and tumour heterogeneity. We have made a striking observation that cancer cells of different origin can switch to a common survival state. During this epigenomic reprogramming, cancer cells re-activate genomic enhancers from specific regulatory programs, such as wound repair and epithelial-to-mesenchymal transition. The goal of my project is to decipher the enhancer logic underlying this canalization effect towards a common survival state. We will then employ this new understanding of enhancer logic to engineer synthetic enhancers that are able to monitor and manipulate cell-state switching in real time. Furthermore, we will use enhancer models to identify cis-regulatory mutations that have an impact on cell-state switching and drug resistance. Such applications are currently hampered because there is a significant gap in our understanding of how enhancers work. To tackle this problem we will use a combination of in vivo massively parallel enhancer-reporter assays, single-cell genomics on microfluidic devices, computational modelling, and synthetic enhancer design. Using these approaches we will pursue the following aims: (1) to identify functional enhancers regulating cell-state switching by performing in vivo genetic screens in mice; (2) to elucidate the dynamic trajectories whereby cells of different cancer types switch to a common survival cell-state, at single-cell resolution; (3) to create synthetic enhancer circuits that specifically kill cancer cells undergoing cell-state switching. Our findings will have an impact on genome research, characterizing how cellular decision making is implemented by the cis-regulatory code; and on cancer research, employing enhancer logic in the context of cancer therapy.	European Research Council	Consolidator Grant	1999660.0	EUR
36	Prof. DIMITRIOS BOUMPAS	Academy of Athens - Biomedical Research Foundation	None	2017-09-01	2022-08-31	PRECISION CARE IN SYSTEMIC AUTOIMMUNITY: AN INTEGRATED MULTI-TISSUE/LEVEL APPROACH FOR SYSTEMIC LUPUS ERYTHEMATOSUS (SLE)	Systemic lupus erythematosus (SLE) is a heterogeneous disease whereby an interplay of environmental, genetic and epigenetic factors lead to perturbation of complex biological networks culminating into diverse clinical phenotypes of varying severity. High throughput methods have allowed an “initial glimpse” into pathogenesis and have laid the foundations for a molecular-based taxonomy for personalized therapy. Based on our experience with the molecular characterization of SLE, a recently completed RNA sequencing analysis of 150 patients, and our track- record of “paradigm shift” trials in SLE, we will integrate data from multi-tissue analyses with novel technologies to improve its diagnosis, monitoring and therapy, and ask fundamental pathogenetic questions in systemic autoimmunity. More specifically, we will design gene expression panels and “expression profile”/”clinical trait” correlation matrices for diagnostics, personalized immunotherapy and improved clinical trial design. In a systematic multi-tissue approach, we will examine the role of somatic mutations in enhancing immune hyperactivity and the risk for lymphoma. The staggering (7-9:1) female predominance will be elucidated through elaborate genomic, epigenomic and microbiota analyses of family trios. Finally, we will be pursuing the innovative hypothesis that the fundamental abnormalities of SLE lie within the bone marrow hematopoietic stem cells (HSCs) - from which all cells that participate in the pathogenesis of SLE originate - and establish it as a unifying pathogenetic mechanism. By a combination of novel experimental analyses with single cell genomics, multi–omics, humanized animal models, genome editing and an “organ on-a-chip” device, we will validate HSCs as a therapeutic target. The utility of SLE research extends beyond its boundaries, by providing unique insights as to how the immune system recognizes self-constituents and maintains its homeostasis, and how gender impacts on disease biology.	European Research Council	Advanced Grant	2355000.0	EUR
37	Prof. Saulius KLIMASAUSKAS	Vilnius University	None	2017-09-01	2022-08-31	Single-cell temporal tracking of epigenetic DNA marks	Over the past decade, epigenetic phenomena have taken centre stage in our understanding of gene regulation, cellular differentiation and human disease. DNA methylation is a prevalent epigenetic modification in mammals, which is brought about by enzymatic transfer of methyl groups from the S-adenosylmethionine (SAM) cofactor by three known DNA methyltransferases (DNMTs). The most dramatic epigenomic reprogramming in mammalian development occurs after fertilization, whereby a global loss of DNA methylation is followed by massive reinstatement of new methylation patterns, different for each cell type. Although DNA methylation has been extensively investigated, key mechanistic aspects of these fascinating events remain obscure. The goal of this proposal is to bridge the gap in our understanding of how the genomic methylation patterns are established and how they govern cell plasticity and variability during differentiation and development. These questions could only be answered by precise determination of where and when methylation marks are deposited by the individual DNMTs, and how these methylation marks affect gene expression. To achieve this ambitious goal, we will metabolically engineer mouse cells to permit SAM analog-based chemical pulse-tagging of their methylation sites in vivo. We will then advance profiling of DNA modifications to the single cell level via innovative integration of microdroplet-based barcoding, precise genomic mapping and super-resolution imaging. Using this unique experimental system we will determine, with unprecedented detail and throughput, the dynamics and variability of DNA methylation and gene expression patterns during differentiation of mouse embryonic cells to neural and other lineages. This project will give a comprehensive, time-resolved view of the roles that the DNMTs play in mammalian development, which will open new horizons in epigenomic research and will advance our understanding of human development and disease.	European Research Council	Advanced Grant	2499875.0	EUR
38	Paul William Selberg-Franks	Lund University	None	2017-02-01	2022-01-31	Novel Approach to Systematically Characterize Exercise- and Nutrient- responsive genes in Type 2 diabetes and cardiovascular disease	Proposal summary Type 2 diabetes and cardiovascular disease are devastating and costly morbidities whose prevalences are increasing rapidly around the world. As such, there is an urgent need to develop innovative and effective prevention and treatment strategies. As numerous clinical trials have shown, lifestyle modification is by far the best way to prevent these diseases, with lifestyle being twice as effective as the best drugs, less costly and free from side effects. Yet, human biology is complex, causing some people to respond well and others poorly to the same lifestyle interventions. Thus, a huge, as yet unrealised opportunity exists to optimize the prevention and treatment of cardiometabolic diseases by tailoring lifestyle interventions to the patient’s unique biology. NASCENT is an integrated programme of research through which I will functionally annotate and later translate discoveries of gene-lifestyle interactions made through the interrogation of large epidemiological (N>100,000) datasets at my disposal. The functional annotation of these discoveries will be done using state-of-the-art epigenomic and targeted gene editing tools, whereas the translation of those findings will be achieved using a innovative and powerful clinical trial design that focuses on treatments that are tailored to the participant’s genotype (genotype-based recall). NASCENT capitalizes on a solid foundation of cohorts, methods, and expertise that I have built-up over the past fifteen years, but also exploits state-of-the-art epigenomic and gene-editing technologies that have not previously been used in studies of gene-lifestyle interactions. I expect the integration of these established and new approaches in NASCENT to propel major advances in understanding gene-lifestyle interactions in cardiometabolic disease that help optimise disease prevention.	European Research Council	Consolidator Grant	1875000.0	EUR
39	Michael Alexanian	Cardiovascular Research Institute School of Medicine University of California	Cardiovascular Research Institute School of Medicine University of California	2018-01-01	2019-06-30	Dissecting the gene regulatory blueprint of cardiomyocyte maturation	Ischemic heart disease remains one of the most frequent causes of mortality in Switzerland and worldwide. This disease is characterized by a massive loss of functional cardiomyocytes (CMs) and ultimately leads to heart failure. Despite recent advances in the development of new pharmacological and device-based therapies, mortality from heart failure remains excessively high. While heart transplantation is an option for some patients with very advanced heart failure, the number of patients with advanced heart failure greatly exceeds the number of available donor organs. As such, cardiac regenerative therapies that can restore functional myocytes and native myocardial function in the failing heart have engendered great interest in the last decade. Researchers have made important advances in this field by being able to produce human CMs from induced pluripotent stem cells (iPSC) or from directly reprogramming human fibroblasts into cardiomyocytes (reprogrammed CMs). However, a major roadblock to progress in this field is that the human CMs produced by these technologies are functionally immature, displaying a fetal-like phenotype that does not resemble the physiology of native adult CMs. As we ultimately want to generate mature, adult cardiomyocytes for regenerative and disease-modeling applications, it is essential to find ways to efficiently mature iPS-derived or reprogrammed CMs. To date, progress towards this goal has been very slow, in part, because we currently lack a comprehensive gene regulatory “blueprint” of the normal CM maturation process. Recent advances in molecular and computational biology have shown how the epigenomic control of gene expression plays a key role in dictating cell fate transitions. The goal of this project is to decipher the gene regulatory circuitry of normal CM maturation by leveraging a multidisciplinary approach that will characterize the genome, epigenome and transcriptome during each stage of this developmental process. As there are currently no technologies for efficient maturation of human CMs, we will interrogate of normal postnatal CM maturation in mice, a genetically defined mammalian model system in which key features of postnatal CM maturation are conserved and occur over the course of 8 weeks. Primary CMs will be extracted from heart tissue of mice in a time course of postnatal developmental stages ranging from newborn mice to fully adult mice (8 weeks of age). These CMs will be subject to next-generation DNA and RNA sequencing based assays to dissect the chromatin and transcriptional landscapes underlying cell state transitions during normal CM maturation. This approach will allow us to characterize the gained/lost TF networks and cis-regulatory elements (e.g. enhancers) in each stage of postnatal CM maturation. Implementing newly developed computational approaches, we will utilize these datasets to discover specific cis-regulatory DNA elements and trans-acting factors that can play a crucial role in controlling the different stages of CM maturation. The ultimate goal of this project is to use this information to identify a set of defined factors that can prime or drive the maturation of stem cell derived human CMs. The potential of achieving more complete and efficient maturation of stem cell derived human CMs will be a major advance for the field of cardiovascular regenerative medicine.	Swiss National Science Foundation	Early Postdoc.Mobility	None	None
40	Antoine Hendrik Felix Marie Peters	Institute Friedrich Miescher	Friedrich Miescher Institute for Biomedical Research	2013-10-01	2016-09-30	Establishment of chromatin states in mouse sperm and their relevance for paternal epigenetic inheritance	Background: Histones and their post-translational modification have recently been suggested to mediate epigenetic inheritance of environmentally induced adap¬tive traits via the male germ line (Carone et al., 2010; Zeybel et al., 2012). In mammals, however, genomes of male germ cells are packaged in a highly condensed configuration. To enable the over 10-fold increase in compaction of the genome in spermatozoa, chromatin undergoes a dramatic remodeling along almost the entire genome at the end of spermatogenesis. Key events in this process are the removal of histones and their replacement first with transition proteins and subsequently with protamines (Govin et al., 2004). Nonetheless, this histone removal is not complete. In humans around 10% of histone proteins are retained on chromatin (Brykczynska et al., 2010; Hammoud et al., 2009), while in mice this number stands at 1%. These later findings raise the important question whether these retained histones would be involved in intergenerational transmission of epigenetic information, thereby contributing to gene regulation in offspring.Unpublished data from my laboratory shows that such retained histones are specifically positioned at regulatory regions of important developmental genes, even more explicitely in mouse than in human spermatozoa (Erkek et al., in preparation; Brykczynska et al., 2010). Furthermore, classes of genes serving distinct functions harbor different sets of post-translationally modified histones associated with either transcriptional activation or repression, in a manner that is predictive for expression states measured in early embryos. Importantly, we find that sequence composition is highly predictive for nucleosome enrichment genome-wide and that nucleosome occupancy inversely correlates with DNA methylation. Results from chromatin immunoprecipitation experiments with histone variant specific antibodies suggest specific functions for the canonical histones H3.1 and H3.2 versus the histone variant H3.3 in chromatin remodeling during spermiogenesis and possibly intergenerational epigenetic inheritance (Erkek et al., in preparation). Further preliminary data indicate the existence of an additional, evolutionary conserved, testis expressed histone H3 variant H3t with putative functions in histone eviction during spermiogenesis. Finally, we have observed, specifically in elongating spermatids, the presence of chromatin-bound histone H3 proteins that are cleaved at their N-termini. We speculate that histone clipping may function in the eviction of these proteins during spermiogenesis. On the basis of these data, we define a comprehensive research program that aims at elucidating the mechanisms underlying histone turnover and retention during spermatogenesis and paternal transmission of histone encoded epigenetic information directing gene expression in the next generation. Hypotheses:1.We hypothesize that nucleosomes containing different members of the histone H3 family are assembled onto and disassembled from chromatin during spermatogenesis by distinct pathways.2.We propose that these variant nucleosomes exhibit different properties on chromatin and are selectively evicted versus retained during spermiogenesis.3.We suggest that variant nucleosomes with specific posttranslational modifications that are retained in sperm play distinct roles in the regulation of gene expression in early embryos.Aims: To test these hypotheses we propose three aims that we will experimentally approach using a combination of biochemical, molecular genetic (transgenic and conditional deficiency mouse models), microscopy, epigenomic (ChIP and RNA sequencing) and bio-computational methods.1.To study the mechanisms underlying histone variant specific nucleosome remodeling during spermatogenesis and retention of H3.3 nucleosomes in spermatozoa. To investigate the role of H3.3 and H3t variants and of canonical H3.1 in spermatogenesis we will generate targeted inducible transgenic mice expressing epitope tagged versions of each of these H3 proteins. We will perform ChIP-Sequencing analyses in purified germ cells to determine the localization of specific H3 variants in the genome during spermatogenesis. We will use these transgenic mice to perform genetic pulse-chase experiments to determine when during spermatogenesis nucleosomes containing H3 variants become incorporated into chromatin. To identify chaperone and chromatin remodeler proteins interacting with the different H3 histones, we will perform immunoprecipitation experiments coupled to protein identification by mass spectrometry (IP/MS) on cytoplasmic and nuclear fractions isolated from germ cells at sequential stages of spermatogenesis. Finally, we will functionally characterize the role of H3 variants in spermatogenesis by generating conditional mutant mice for H3.3 and H3t genes as well as for candidate chromatin assembly factors identified by the IP/MS experiments. 2.To determine the mechanism and function of histone clipping in nucleosomal eviction during spermiogenesis. Unpublished data indicate the existence of chromatin-bound H3 proteins cleaved around residue Glycine 33 in purified elongating spermatids. In vitro assays indicate that the proteolytic activity may reside in a serine or threonine protease. To investigate the function of histone cleavage in nucleosome eviction, we will first identify the precise cleavage site using Edman degradation and sophisticated MS approaches. We will subsequently generate antibodies recognizing cleaved histones. We will then perform biochemical fractionation studies combined with IP/MS detection methods to identify the protease involved. To elucidate the function of the protease in histone eviction, we will generate conditionally deficient mice and study histone cleavage in relation to turnover during spermatogenesis. Likewise, we will generate transgenic mice expressing uncleavable point mutants of H3 proteins in an inducible manner. 3.To elucidate the role of paternally inherited histone proteins in the regulation of early embryonic gene expression. We will use sperm from transgenic males heterozygous for the epitope tagged H3 transgenes (described in Aim 1) to produce pre-implantation embryos. Using microscopy approaches we will then track the presence of tagged H3 in genetically wild-type versus transgenic early embryos to determine whether and how long paternally inherited histones are retained on DNA during early embryogenesis. In addition, we will generate mice expressing H3 variants lacking crucial modified residues to examine the role of residue specific histone modifications in paternal chromatin inheritance. We will examine expression of genes associated with modified histones in sperm in two-cell stage embryos sired by these mice to determine if embryonic gene expression is affected. Expected value: The proposed study comprises a systematic genetic and biochemical analysis of nucleosome remodeling and turnover processes occurring during spermatogenesis. We expect to answer the highly relevant and open question whether nucleosomes in mouse spermatozoa mediate transmission of epigenetic information between generations. We further anticipate to obtain detailed insights into the molecular mechanism underlying nucleosome eviction during spermatid differentiation, leading to the production of functional spermatozoa.	Swiss National Science Foundation	Project funding (Div. I-III)	638880.0	CHF
41	Antoine Hendrik Felix Marie Peters	Institute Friedrich Miescher	Friedrich Miescher Institute for Biomedical Research	2017-04-01	2021-03-31	Understanding molecular mechanisms underlying chromatin reprogramming during male germ cell development	In the life cycle of mammalian organisms, fertilization represents the moment at which genetic information of two individuals is united to give rise to a new individual. A major question in biology is whether and/or to what extent mature gametes carry information beyond the DNA sequence that is important for the development of offspring. Over recent years, numerous studies involving mammalian systems provided some evidence for inter- and/or transgenerational inheritance of phenotypic traits in response to external environmental cues, such as altered nutrition, chemical pollutants, and endocrine disruptors. Alterations in DNA methylation, composition of small RNAs and/or chromatin states have been implicated in the inheritance of such traits, yet, clear mechanistic insights are rather limiting. To elucidate molecular mechanisms involved in such acquired forms of epigenetic inheritance, we aim to dissect (a) the fundamental mechanisms involved in defining chromatin states in mature gametes in unchallenged conditions, and (b) whether such states are instructive in specifying embryonic development. In this proposal, we focus on the development of male germ cells. Following an almost eight week lasting developmental process millions of highly differentiated haploid spermatozoa are day-to-day generated from, originally, a few spermatogonial stem cells. Upon leaving the spermatogonial stem cell pool, differentiating spermatogonia undergo first multiple rounds of replication and thenceforth enter into meiosis to undergo meiotic recombination and haploidisation. During the following spermiogenesis phase, haploid spermatids dramatically remodel their chromatin structure and undertake a major cellular morphogenesis process resulting in the generation of highly compacted and motile sperm.We and others have previously shown that nucleosomes, the basic building units of chromatin, remain present at specific sequences in mature sperm of mouse and men. Ongoing experiments indicate that H3 proteins in nucleosomes “change their identity” by the exchange of canonical replication dependent H3.1 and H3.2 proteins by a testis specific isoform called H3t as well as by the H3.3 variant histone. H3t is conserved among mammals and harbors a few amino acid substitutions relative to H3.1. H3t deficient animals display major defects in the proliferative differentiating spermatogoia and reduced H3.3 levels cause spermatogenic arrest at different stages, pending on residual levels. In this proposal, we combine mouse transgenesis, molecular genetic, epigenomic, and biochemical approaches to understand the function of the H3t and H3.3 histone variants, and to test the role of specific amino acid residues and their post-translational modifications in male germ cell development. We further focus on the mechanisms underlying global transcriptional silencing occurring at the end of spermatogenesis. We propose to perform proteomic analyses of chromatin isolated from developing spermatids to identify novel factors involved in nuclear condensation and nucleosome eviction versus retention. Finally, we aim to determine the localization of nucleosomes in individual spermatozoa and assess their relevance for intergenerational transmission of epigenetic information.We believe that this research will enhance our understanding of the regulatory role of chromatin in male gamete generation and transmission of epigenetic information to the next generation.	Swiss National Science Foundation	Project funding (Div. I-III)	1008000.0	CHF
42	Bojan Bujisic	Department of Molecular Biology Massachusetts General Hospital Harvard Medical School	Department of Molecular Biology Massachusetts General Hospital Harvard Medical School	2017-09-01	2019-02-28	Interplay between non-coding RNAs and EZH2 as a novel regulatory mechanism that modulates the adaptation to stress	Only 1-2% of our DNA has a protein-coding potential. However, more than 80% of the genome is developmentally transcribed into non-coding RNAs (ncRNAs). Formerly described as “junk”, ncRNAs have been recently assigned important roles in many developmental and oncogenic processes. Mechanistically, ncRNAs bind directly to DNA, or form complexes with other RNAs or proteins to regulate expression of genes. One of the best-characterized ncRNA-interacting proteins is the histone-methyltransferase EZH2, the catalytic subunit of Polycomb repressive complex 2 (PRC2). RIP-seq analysis demonstrated that this epigenetic regulator binds more than 9000 RNAs. Interestingly, about 20% of the EZH2-interacting transcripts derive from repetitive genomic loci including Short Interspersed Nuclear Elements (SINEs). This interaction was initially neglected due to repetitive origin of the SINE transcripts. However, the latest study performed in the Lee Lab re-evaluated this binding and proposed a novel role for EZH2 and SINE-derived B2 RNA in shaping cellular adaptation to heat-shock. Prior to stress, B2 transcripts bind multiple heat-shock responsive genes and serve as speed bumps for RNA Polymerase II (POL-II). Upon heat-shock, however, EZH2 is recruited to the B2 RNA binding sites and destabilizes the RNA, thereby activating high-level expression of the heat-responsive genes to induce the adaptation programs. Unexpectedly, as a mechanism responsible for B2 RNA-destabilization, the study proposes a novel endonucleolytic activity for the histone-methyltransferase EZH2. These findings are very unexpected in two ways. First, they demonstrate an in vivo function for the repetitive RNA, B2, and show that B2 binds to chromatin and influences transcription. Second, they suggest that EZH2 - previously known only as a histone methyltransferase - may have RNAse activity. Thus, this study opens several important questions and these questions will be the focal point of my postdoctoral work. First, I would like to understand the mechanism of EZH2-mediated processing of B2 RNA. Second, I will study whether the EZH2-B2 mechanism is engaged to regulate responses to other stress-stimuli, including hypoxia and ER stress, and in mouse models of cancer. Lastly, given that EZH2 is mutated in multiple human malignancies I will address whether some mutations arise as a mechanism by which malignant cells can evade the stresses occurring in tumors. These aims will add to my scientific skill set by providing training in RNA-protein biochemistry and RNA-based epigenomic analysis, at the same time that they will utilize my PhD training in the organismal response to cancer stress.	Swiss National Science Foundation	Early Postdoc.Mobility	None	None
43	Eva Choong	Deptartment of Physiology and Pharmacology Karolinska Institute	Deptartment of Physiology and Pharmacology Karolinska Institute	2012-12-01	2013-05-31	CYP2W1 function, regulation and potential role in cancer therapy	CYP2W1 function, regulation and potential role in cancer therapyColorectal cancer (CRC) is the third most common cancer worldwide. It causes half a million deaths yearly and the general 5-years survival rate is around 60%. CRC is primarily managed by surgery (1). Discovery of novel chemotherapeutics agents and accurate biomarkers to identify CRC patients at high risk for recurrence are clinically relevant.The cytochrome P450 (CYP) 2W1, an extrahepatic CYP, was first cloned and characterized in our laboratory (2). It is tumor-specific and about 36% of human CRC specimens highly express CYP2W1, an expression that is associated with worst survival outcome in colorectal cancer stage III in two independent studies (3, 4). Recent studies showed that CYP2W1 metabolizes some xenobiotics, e.g. aflatoxin B1, AQ4N (2, 5). Our collaborators in Bradford University (UK) designed and optimized cytotoxic prodrugs (indoline derivatives) specifically activated by CYP1A1 and, together, we have identified similar agents active on CYP2W1. A couple of these agents are very effective in killing colon tumors in cultures (IC50 500 nM) and in xenograft models containing CYP2W1, but ineffective in tumors without CYP2W1 (6). Nothing is known about the endogenous function or physiological regulation of CYP2W1. The project aims to determine the function and modes of regulation of the gene expression to ultimately increase the amount of drug target in the tumors. The specific aims are (i) to elucidate the mechanism of CYP2W1 expression regulation, (ii) to identify the endogenous function of CYP2W1, (iii) to characterize the expression and activity of CYP2W1 in primary tumors and metastases and its potential role in carcinogenesis and novel type of chemotherapy.Postdoctoral project investigations:Regulation We showed that CYP2W1 expression is regulated in part by DNA methylation status with hypomethylation resulting in increased protein expression (7). Interestingly, CYP2W1 might be induced by 5F-203, GW-610 and imatinib in different cancer cell lines (Geo dataset: GDS3044) (8). Screening of CRC CYP2W1 inducers and inhibitors are currently ongoing. The transcriptome and epigenome changes from tumor tissues and cancer cell lines with or without CYP2W1 expression and with CYP2W1 induction will be analyzed by pyrosequencing and microarray, respectively, with extensive research of tissue specific transcription factors. Enriched biological pathway (i.e. KEGG, DAVID) and molecular interaction and relation networks will be studied.Function CYP2W1 is expressed in rat fetal stages but not in any adult rat tissue. The gene might have an important role in fetal colon, silenced at birth but then reactivated in colon tumors. A developmental curve of Cyp2w1 expression in mice colon from different fetal to adult ages is ongoing to determine the transcriptome, epigenome and protein expression changes of CYP2W1 and its potentiate transcription factors. A screening of the endogenous substrate is ongoing in different tumor cell lines expressing or not CYP2W1. We have just received Cyp2w1 -/- mice and the phenotype and function of Cyp2w1 will be here evaluated through a PhD study co-supervision.Characterization of CYP2W1 expression in human tumorsFresh colon tumors with their corresponding normal tissue and liver metastases have been collected by our collaborators in Karolinska University Hospital. The transcriptome and epigenome will be used (i) to elucidate the role of epigenomic modifications (ii) the role of some gene polymorphisms and (iii) for the identification of possible biomarkers for malignant colon cancer. An overview of CYP2W1 expression status in tumors is also ongoing.References 1.L. Spelt et al. (2012). PMID: 22079259.2.M. Karlgren et al. (2006). PMID: 16426568.3.D. Edler et al. (2009). PMID: 19118998.4.K. Stenstedt et al. (2012). PMID: 22993331.5.C. R. Nishida et al. (2010). PMID: 20566689.6.S.Travica et al. Manuscript in preparation (2012).7.A. Gomez et al. (2007). PMID: 17979506.8.B. S. Tan et al. (2011). PMID: 21831963.	Swiss National Science Foundation	Fellowships for prospective researchers	None	None
